name	CHE_AS	CHE_IF	HKG_AS	HKG_IF	IND_AS	IND_IF	SWE_AS	SWE_IF	USA_AS	USA_IF
Scytonema sp. NIES-4073	14	5	29	7	13	10	7	8	5	2
Sea lion mastadenovirus A	0	0	0	0	0	0	0	0	0	0
Sebaldella termitidis	0	0	0	0	0	0	0	0	0	0
secondary endosymbiont of Ctenarytaina eucalypti	2	2	10	4	4	5	6	1	3	0
secondary endosymbiont of Heteropsylla cubana	5	1	8	2	4	3	4	3	1	4
secondary endosymbiont of Trabutina mannipara	1	0	9	2	3	0	2	1	2	1
Secretariatvirus secretariat	0	0	0	0	0	0	0	0	0	0
Sectovirus 1	0	0	0	0	0	0	0	0	0	0
Secundilactobacillus malefermentans	5	1	6	4	3	1	2	7	1	1
Secundilactobacillus paracollinoides	4	1	17	6	5	3	2	13	6	1
Sedimentibacter sp. zth1	18	3	34	6	7	6	8	34	9	3
Sedimenticola thiotaurini	22	6	872	503	84	25	6	6	8	6
Sedimentisphaera cyanobacteriorum	5	0	20	3	7	8	1	3	6	1
Sedimentisphaera salicampi	6	0	19	7	8	2	2	1	3	1
Sediminibacillus dalangtanensis	5	1	21	8	3	4	5	17	5	2
Sediminibacterium sp. TEGAF015	776	102	70	4	95	18	119	27	101	67
Sediminicoccus rosea	41	15	130	109	117	15	29	21	40	15
Sediminicola sp. YIK13	32	10	99	8	13	1	28	9	19	11
Sediminispirochaeta smaragdinae	0	0	0	0	0	0	0	0	0	0
Sedonavirus tusconh	0	0	0	0	0	0	0	0	0	0
Segniliparus rotundus	0	0	0	0	0	0	0	0	0	0
Selenomonas ruminantium	0	0	0	0	0	0	0	0	0	0
Selenomonas sp. oral taxon 126	6	5	24	21	12	35	5	26	2	9
Selenomonas sp. oral taxon 136	1	2	9	7	6	13	4	10	1	0
Selenomonas sp. oral taxon 478	0	3	8	9	6	22	0	11	0	4
Selenomonas sp. oral taxon 920	6	5	18	25	6	33	3	28	1	8
Selenomonas sputigena	14	14	54	54	41	114	7	70	3	12
Selenomonas timonae	4	1	10	22	15	22	5	18	1	5
Sellimonas intestinalis	11	43	32	108	2	31	5	118	2	38
Sentinelvirus sentinel	0	0	0	0	0	0	0	0	0	0
Sentinelvirus spernnie	0	0	0	0	0	0	0	0	0	0
Seodaemunguvirus YMC16-01N133	0	0	0	0	0	0	0	0	0	0
Seonamhaeicola sp. ML3	26	6	82	13	18	9	27	11	14	15
Seonamhaeicola sp. S2-3	29	14	112	16	20	6	28	21	17	19
Seoulvirus SPN3US	0	0	0	0	0	0	0	0	0	0
Septimatrevirus Ab26	0	0	0	0	0	0	0	0	0	0
Septimatrevirus kakheti25	0	0	0	0	0	0	0	0	0	1
Septimatrevirus sv73	0	0	0	0	0	0	0	0	0	0
Sepunavirus IPLAC1C	0	0	0	0	0	0	0	0	0	0
Sepunavirus SEP1	0	0	0	0	0	0	0	0	0	0
Serinicoccus chungangensis	98	14	98	104	38	17	32	15	18	6
Serinicoccus hydrothermalis	96	13	94	91	42	14	38	17	17	5
Serinicoccus marinus	0	0	0	0	0	0	0	0	0	0
Serinicoccus profundi	125	23	85	108	45	15	33	20	19	14
Serpentinicella alkaliphila	15	2	35	3	9	15	12	33	6	10
Serpentinimonas maccroryi	93	105	97	115	200	47	85	127	63	43
Serpentinimonas raichei	112	117	126	137	142	47	86	124	49	63
Serratia entomophila	19	4	63	39	33	13	5	14	7	5
Serratia ficaria	1	0	3	6	2	0	0	2	4	1
Serratia fonticola	16	3	72	31	22	30	10	19	11	13
Serratia grimesii	6	5	37	17	12	16	6	13	8	14
Serratia inhibens	0	0	0	0	0	0	0	0	0	0
Serratia liquefaciens	10	3	32	20	13	16	8	12	5	6
Serratia marcescens	82	34	279	211	146	197	43	50	35	48
Serratia nematodiphila	1	0	1	1	2	1	0	0	1	0
Serratia odorifera	9	3	63	48	28	16	15	16	5	8
Serratia phage KpZh_1	0	0	0	2	0	0	0	0	0	0
Serratia plymuthica	34	6	112	62	44	34	18	16	16	11
Serratia proteamaculans	16	17	65	44	27	14	11	21	9	10
Serratia quinivorans	10	3	51	18	15	15	5	6	5	6
Serratia rhizosphaerae	7	2	19	8	8	3	5	0	0	2
Serratia rubidaea	23	4	64	28	24	25	6	9	12	7
Serratia sp. 1D1416	3	1	3	10	3	0	2	3	3	2
Serratia sp. 3ACOL1	5	1	13	3	2	5	2	7	0	0
Serratia sp. ATCC 39006	19	4	39	17	9	21	10	11	5	6
Serratia sp. CMO1	0	0	7	2	0	0	0	0	0	0
Serratia sp. FDAARGOS_506	4	2	25	14	5	3	4	5	1	2
Serratia sp. FGI94	2	0	15	8	8	6	1	2	1	2
Serratia sp. FS14	1	0	2	2	3	0	0	0	1	1
Serratia sp. HRI	0	0	0	0	1	1	0	0	0	0
Serratia sp. JKS000199	0	0	0	1	0	0	0	2	0	1
Serratia sp. JSRIV001	0	0	6	1	1	1	0	0	0	0
Serratia sp. JSRIV002	2	0	1	3	2	0	0	1	1	0
Serratia sp. JSRIV004	1	1	2	2	0	2	0	0	1	0
Serratia sp. JSRIV006	2	0	3	1	1	2	1	1	0	0
Serratia sp. JUb9	0	0	1	0	0	1	1	1	0	0
Serratia sp. LS-1	1	0	1	0	0	0	0	0	0	0
Serratia sp. MYb239	0	0	0	1	0	1	1	0	1	1
Serratia sp. P2ACOL2	1	1	5	3	2	0	0	2	1	0
Serratia sp. SCBI	0	0	2	1	1	0	0	0	0	0
Serratia sp. SSNIH1	0	0	0	0	0	0	0	0	0	1
Serratia sp. Tan611	0	0	3	1	2	1	1	0	0	0
Serratia surfactantfaciens	9	4	31	15	7	12	5	2	4	2
Serratia symbiotica	4	1	35	25	13	28	5	11	10	5
Serratia ureilytica	3	1	14	13	11	9	5	2	2	2
Sertoctavirus SRT8	0	0	0	0	0	0	0	0	0	0
Sessunavirus SESS1	0	0	0	0	0	0	0	0	0	0
Seunavirus GAP31	0	0	0	0	0	0	0	0	0	0
Seunavirus PVPSE1	0	0	0	0	0	0	0	0	0	0
Seunavirus SSE121	0	0	0	0	0	0	0	0	0	0
Seuratvirus cajan	0	0	0	0	0	0	0	0	0	0
Seuratvirus seurat	0	0	0	0	0	0	0	0	0	0
Seussvirus seuss	0	0	0	0	0	0	0	0	0	0
Sewage-associated circular DNA virus-11	0	0	0	0	0	0	0	0	1	0
Sewage-associated circular DNA virus-33	0	0	0	0	0	0	0	0	1	0
Sextaecvirus SEP9	0	0	0	0	0	0	0	0	0	0
Shahe isopoda virus 1	0	0	0	0	0	0	0	1	0	0
Shahe picorna-like virus 12	0	0	1	0	0	0	0	0	0	0
Shahe picorna-like virus 6	1	0	0	0	0	0	0	0	0	0
Shalavirus Shbh1	0	0	0	0	0	0	0	0	0	0
Shandongvirus H101	0	0	0	0	0	0	0	0	0	0
Shapirovirus cbk	0	0	0	0	0	0	0	0	0	0
Sharonstreetvirus BUCT551	0	0	0	0	0	0	0	0	0	0
Sharonstreetvirus LAh7	0	0	0	0	0	0	0	0	0	0
Shayang spider virus 4	0	0	1	0	0	0	0	0	0	0
Shenzhenvirus AhSzq1	0	0	0	0	0	0	0	0	0	0
Shenzhenvirus AhSzw1	0	0	0	0	0	0	0	0	0	0
Shewanella aestuarii	10	8	33	10	5	3	7	12	7	8
Shewanella algae	19	15	100	85	27	41	13	29	11	17
Shewanella amazonensis	0	0	0	0	0	0	0	0	0	0
Shewanella avicenniae	13	5	34	30	12	144	3	11	5	40
Shewanella baltica	23	9	79	40	14	61	9	22	13	26
Shewanella benthica	9	3	33	16	14	11	4	8	3	6
Shewanella bicestrii	2	1	7	8	2	6	3	3	1	1
Shewanella carassii	1	0	17	14	6	4	3	5	1	3
Shewanella chilikensis	4	8	70	92	5	17	3	5	1	3
Shewanella cyperi	14	6	71	34	14	17	4	8	2	6
Shewanella decolorationis	7	3	31	29	11	13	3	12	4	5
Shewanella denitrificans	0	0	0	0	0	0	0	0	0	0
Shewanella dokdonensis	10	4	49	26	8	13	10	7	7	8
Shewanella donghaensis	15	4	25	13	10	6	9	3	8	7
Shewanella frigidimarina	0	0	0	0	0	0	0	0	0	0
Shewanella glacialimarina	9	2	43	12	10	7	8	8	12	5
Shewanella halifaxensis	0	0	0	0	0	0	0	0	0	0
Shewanella indica	4	8	13	12	8	5	0	1	1	0
Shewanella inventionis	16	3	35	31	8	5	10	14	1	8
Shewanella japonica	2	1	9	1	1	3	2	4	2	3
Shewanella khirikhana	18	6	59	44	20	17	8	8	2	9
Shewanella litorisediminis	5	3	49	26	14	12	4	5	6	10
Shewanella livingstonensis	7	4	34	7	5	6	4	9	6	6
Shewanella loihica	0	0	0	0	0	0	0	0	0	0
Shewanella marisflavi	15	3	46	43	15	32	5	5	3	4
Shewanella maritima	7	4	26	12	6	2	14	6	5	3
Shewanella oneidensis	0	0	0	0	0	0	0	0	0	0
Shewanella pealeana	0	0	0	0	0	0	0	0	0	0
Shewanella piezotolerans	0	0	0	0	0	0	0	0	0	0
Shewanella polaris	4	0	7	4	2	1	3	1	2	0
Shewanella psychromarinicola	14	1	22	10	9	8	10	2	4	6
Shewanella psychrophila	9	3	21	14	9	4	7	3	2	1
Shewanella psychropiezotolerans	8	2	30	5	15	7	4	4	5	4
Shewanella putrefaciens	17	8	91	37	24	30	13	28	10	13
Shewanella sedimentimangrovi	10	2	21	19	5	7	3	1	3	1
Shewanella sediminis	0	0	0	0	0	0	0	0	0	0
Shewanella seohaensis	1	0	13	10	3	4	0	2	1	4
Shewanella sp. ANA-3	3	0	15	10	2	7	0	5	1	4
Shewanella sp. Arc9-LZ	13	3	20	4	5	5	4	3	4	4
Shewanella sp. FDAARGOS_354	0	1	5	6	0	7	0	10	1	2
Shewanella sp. FJAT-51649	2	0	7	7	5	4	1	6	1	1
Shewanella sp. FJAT-51754	2	2	7	5	5	11	1	4	1	2
Shewanella sp. FJAT-51860	10	1	37	16	2	4	4	9	3	2
Shewanella sp. FJAT-52072	10	1	22	12	8	7	6	0	3	2
Shewanella sp. FJAT-52076	7	0	9	6	2	4	2	2	3	0
Shewanella sp. FJAT-53532	2	1	13	8	3	2	1	3	1	4
Shewanella sp. FJAT-53555	2	2	21	9	7	2	3	2	2	2
Shewanella sp. FJAT-53681	1	1	14	23	3	3	1	4	4	1
Shewanella sp. FJAT-53749	6	4	16	15	4	1	5	2	2	4
Shewanella sp. FJAT-53764	2	1	25	10	4	5	1	4	1	2
Shewanella sp. FJAT-53870	10	3	27	9	13	8	5	2	1	3
Shewanella sp. FJAT-54031	3	2	13	10	1	4	4	1	0	3
Shewanella sp. JNE10-2	0	0	1	0	0	1	0	0	0	0
Shewanella sp. JNE2	2	4	8	13	0	5	0	0	0	0
Shewanella sp. KX20019	13	4	29	7	8	5	3	3	2	3
Shewanella sp. LC6	0	2	10	18	0	14	0	13	0	2
Shewanella sp. LZH-2	2	0	4	1	0	3	6	11	2	1
Shewanella sp. MEBiC00475	3	0	7	1	0	3	4	6	4	1
Shewanella sp. MR-4	3	0	7	2	4	4	1	5	0	8
Shewanella sp. NFH-SH190041	7	1	46	15	13	18	10	1	8	3
Shewanella sp. OM3-2	11	2	27	10	11	8	7	2	4	4
Shewanella sp. Pdp11	3	0	8	12	0	8	0	2	1	0
Shewanella sp. phage 1/4	0	0	0	0	0	0	0	0	1	0
Shewanella sp. phage 1/44	0	0	0	0	0	1	0	0	1	0
Shewanella sp. Scap07	11	1	39	20	10	5	7	7	4	3
Shewanella sp. SNU WT4	10	6	30	12	6	16	5	9	1	4
Shewanella sp. W3-18-1	0	3	6	12	0	3	1	4	1	1
Shewanella sp. WE21	5	3	19	7	6	7	2	19	4	10
Shewanella sp. WPAGA9	4	1	2	4	1	6	2	1	0	4
Shewanella sp. YLB-09	0	0	1	0	0	0	0	0	0	0
Shewanella vesiculosa	17	2	33	11	5	9	6	6	5	2
Shewanella violacea	0	0	0	0	0	0	0	0	0	0
Shewanella woodyi	0	0	0	0	0	0	0	0	0	0
Shewanella xiamenensis	16	7	42	31	22	34	6	182	9	16
Shewanella yunxiaonensis	13	0	32	25	39	9	8	9	10	7
Shigella boydii	1	2	2	56	1	9	0	1	1	0
Shigella dysenteriae	1	5	2	80	4	27	1	6	1	5
Shigella flexneri	1	6	13	146	4	23	2	14	1	7
Shigella sonnei	2	4	3	36	0	4	0	3	0	1
Shigella sp. PIB	0	0	0	1	0	0	0	0	0	0
Shimwellia blattae	12	1	41	44	15	18	7	6	6	5
Shinella oryzae	19	21	84	100	41	10	5	10	27	8
Shinella sp. H4-D48	23	23	76	77	36	10	9	13	13	7
Shinella sp. HZN7	52	171	134	281	104	33	16	72	35	47
Shinella sp. PSBB067	41	76	122	198	174	13	15	33	29	36
Shinella sp. XGS7	87	51	126	117	97	35	35	39	52	32
Shinella zoogloeoides	65	265	182	575	372	67	41	124	43	141
Shirahamavirus PTm1	0	0	0	0	0	0	0	0	0	0
Shizishanvirus phCDa	0	0	0	0	0	0	0	0	0	0
Shuangao anphevirus	0	0	0	0	0	0	0	0	0	0
Shuangao Bedbug Virus 2	0	0	0	1	0	0	0	0	0	0
Shuangao insect virus 12	0	0	0	0	0	1	0	0	0	0
Shuimuvirus IME207	0	0	0	0	0	0	0	0	0	0
Siansivirga zeaxanthinifaciens	0	0	0	0	0	0	0	0	0	0
Siccibacter colletis	11	7	37	50	22	10	2	10	9	8
Sideroxyarcus emersonii	35	13	120	94	77	33	30	28	15	29
Sideroxydans lithotrophicus	0	0	0	0	0	0	0	0	0	0
Sigmavirus melanogaster	0	0	0	0	0	0	0	0	0	0
Sigmavirus shayang	0	0	0	0	0	0	0	0	0	0
Silicimonas algicola	31	11	152	160	69	11	22	8	11	9
Silvanigrella aquatica	14	6	30	1	8	6	8	3	4	5
Silviavirus remus	1	0	0	0	0	0	0	0	0	0
Silviavirus SA11	0	0	0	0	0	0	0	0	0	0
Silviavirus stau2	0	0	0	0	0	0	0	0	0	0
Simian adenovirus B	0	0	0	0	0	0	0	0	0	0
Simian foamy virus	0	0	1	0	0	0	0	0	0	0
Simian mastadenovirus F	0	0	0	0	0	0	0	0	0	0
Simian mastadenovirus H	0	0	0	0	0	0	0	0	0	0
Simiaoa sunii	19	654	66	1116	9	921	6	3089	6	339
Simiduia agarivorans	0	0	0	0	0	0	0	0	0	0
Simiduia sp. 21SJ11W-1	16	4	96	53	21	12	6	6	8	10
Siminovitchvirus CP51	0	0	0	0	0	0	0	0	0	0
Siminovitchvirus shanette	0	0	0	0	0	0	0	0	0	0
Simkania negevensis	0	0	0	0	0	0	0	0	0	0
Simonsiella muelleri	7	2	17	6	14	5	5	3	4	4
Simplicispira suum	2311	602	156	187	145	66	1907	572	237	164
Sindbis virus	0	0	0	0	0	0	0	0	1	0
Singapore grouper iridovirus	0	0	1	0	0	0	0	0	0	0
Singulisphaera acidiphila	0	0	0	0	0	0	0	0	0	0
Sinimarinibacterium sp. NLF-5-8	23	14	151	120	57	12	10	27	15	17
Sinomicrobium kalidii	36	6	131	25	30	13	29	11	11	8
Sinomonas atrocyanea	47	8	64	61	60	18	10	13	21	7
Sinomonas sp. R1AF57	41	8	57	50	38	11	13	19	16	5
Sinorhizobium americanum	29	8	80	90	40	8	12	4	21	13
Sinorhizobium fredii	48	14	119	129	90	16	19	13	28	16
Sinorhizobium medicae	23	8	88	86	35	12	12	11	15	7
Sinorhizobium meliloti	59	17	220	222	135	22	40	24	49	16
Sinorhizobium phage phiM9	0	0	1	0	0	0	1	0	0	0
Sinorhizobium sp. BG8	19	14	96	93	54	7	13	8	24	10
Sinorhizobium sp. CCBAU 05631	5	0	17	21	12	5	2	0	2	1
Sinorhizobium sp. LM21	1	0	2	1	0	0	0	0	0	0
Sinorhizobium sp. M14	2	4	6	18	3	0	2	1	2	0
Siovirus coreense	0	0	0	0	0	0	0	0	0	0
Skatevirus skate	0	0	0	0	0	0	0	0	0	0
Skatevirus VSt472	0	0	0	0	0	0	0	0	0	0
Skermanella mucosa	44	7	142	112	91	21	19	6	28	12
Skermanella pratensis	28	17	127	83	82	18	16	2	21	12
Skermanella rosea	36	8	121	101	86	12	13	12	25	10
Skermanella sp. TT6	27	9	150	95	119	9	12	9	29	9
Skermania piniformis	32	1	104	94	43	15	27	19	10	12
Skogvirus Skog	0	0	0	0	0	0	0	0	0	0
Skua siadenovirus A	0	0	0	0	0	0	0	0	0	0
Skunavirus A16	0	0	0	0	0	0	0	0	0	0
Skunavirus B1127	0	0	0	0	0	0	0	0	0	0
Skunavirus CB13	0	0	0	0	0	0	0	0	0	0
Skunavirus CB14	0	0	0	0	0	0	0	0	0	0
Skunavirus CB19	0	0	0	0	0	0	0	1	0	0
Skunavirus CHPC361	0	0	0	0	0	0	0	0	0	0
Skunavirus CHPC362	0	0	0	0	0	0	0	0	0	0
Skunavirus CHPC965	0	0	0	0	0	0	0	0	0	0
Skunavirus i0139	0	0	0	0	0	0	0	0	0	0
Skunavirus JF1	0	0	0	0	0	0	0	0	0	0
Skunavirus jm2	0	0	0	0	0	0	0	0	0	0
Skunavirus jm3	0	0	0	0	0	0	0	0	0	0
Skunavirus LP0903	0	0	0	0	0	0	0	0	0	0
Skunavirus LP1502a	0	0	0	0	0	0	0	0	0	0
Skunavirus LP8511	0	0	0	0	0	0	0	0	0	0
Skunavirus M1127	0	0	0	0	0	0	0	0	0	0
Skunavirus MP1	0	0	0	0	0	0	0	0	0	0
Skunavirus P1532	0	0	0	0	0	0	0	0	0	0
Skunavirus P4565	0	0	0	0	0	0	0	0	0	0
Skunavirus P475	0	0	0	0	0	0	0	0	0	0
Skunavirus P656	0	0	0	0	0	0	0	0	0	0
Skunavirus P680	0	0	0	0	0	0	0	0	0	0
Skunavirus R31	0	0	0	0	0	0	0	0	0	0
Skunavirus Sl4	0	0	0	0	0	0	0	0	0	0
Skunavirus sv05601	0	0	0	0	0	0	0	0	0	0
Skunavirus sv16802	0	0	0	0	0	0	0	0	0	0
Skunavirus sv340	0	0	0	0	0	0	0	0	0	0
Skunavirus sv38503	0	0	0	0	0	0	0	0	0	0
Skunavirus sv38507	0	0	0	0	0	0	0	0	0	0
Skunavirus sv42	0	0	0	0	0	0	0	0	0	0
Skunavirus sv512	0	0	0	0	0	0	0	0	0	0
Skunavirus sv56301	0	0	0	0	0	0	0	0	0	0
Skunavirus sv57001	0	0	0	0	0	0	0	0	0	0
Skunavirus sv62601	0	0	0	0	0	0	0	0	0	0
Skunavirus sv63302	0	0	0	0	0	0	0	0	0	0
Skunavirus sv66901	0	0	0	0	0	0	0	0	0	0
Skunavirus sv79201	0	0	0	0	0	0	0	0	0	0
Skunavirus sv88605	0	0	0	0	0	0	0	0	0	0
Skunavirus sv96401	0	0	0	0	0	0	0	0	0	0
Skunavirus sv96603	0	0	0	0	0	0	0	0	0	0
Skysandvirus lollipop1437	0	0	0	0	0	0	0	0	0	0
Slackia heliotrinireducens	9	6	38	31	21	19	3	13	5	4
Slashvirus stahl	0	0	0	0	0	0	0	0	0	0
Slashvirus stills	0	0	0	0	0	0	0	0	0	0
Slopekvirus eap3	0	0	0	0	0	0	0	0	0	0
Slopekvirus kp27	0	0	0	0	0	0	0	0	0	0
Slopekvirus matisse	0	0	0	0	0	0	0	0	0	0
Smoothievirus bachita	0	0	0	0	0	0	0	0	0	0
Sneathia vaginalis	4	3	16	5	2	2	5	22	8	20
Sneathiella aquimaris	9	1	39	11	9	4	10	3	5	3
Sneathiella sp. PHK-P5	13	2	38	14	14	3	10	5	8	4
Snodgrassella alvi	0	0	0	0	0	0	0	0	0	0
Sodaliphilus pleomorphus	18	24	43	33	19	171	9	63	12	23
Sodalis endosymbiont of Henestaris halophilus	4	0	12	2	6	4	2	3	3	0
Sodalis glossinidius	2	0	0	0	0	0	0	0	1	0
Sodalis ligni	17	7	109	65	36	35	14	10	13	14
Sodalis praecaptivus	16	3	27	32	31	8	5	7	7	2
Sokavirus swam1	0	0	0	0	0	0	0	0	0	0
Solibacillus silvestris	0	0	0	0	0	0	0	0	0	0
Solibacillus sp. R5-41	12	2	22	6	9	5	5	16	12	3
Solibaculum mannosilyticum	7	18	27	27	8	21	6	72	8	22
Solidesulfovibrio carbinolicus	10	10	56	50	48	133	5	56	11	18
Solidesulfovibrio carbinoliphilus	0	0	0	0	0	0	0	0	0	0
Solidesulfovibrio magneticus	0	0	0	0	0	0	0	0	0	0
Solimonas sp. K1W22B-7	61	18	217	164	159	23	39	24	48	29
Solitalea canadensis	0	0	0	0	0	0	0	0	0	0
Solitalea sp. S2-8	86	5	75	8	27	8	51	10	32	19
Sonalivirus sonali	0	0	0	0	0	0	0	0	0	0
Sorangium cellulosum	890	61	1329	460	942	107	410	48	889	154
Sortsnevirus IME279	0	0	0	0	0	0	0	0	0	0
Sortsnevirus sortsne	0	0	0	0	0	0	0	0	0	0
Soupsvirus soups	0	0	0	0	0	0	0	0	0	0
Sourvirus sour	0	0	0	0	0	0	0	0	0	0
Southwest baboon virus 1	0	0	1	1	0	0	0	0	0	0
Sparkyvirus sparky	0	0	0	0	0	0	0	0	0	0
Spartinivicinus ruber	18	4	56	10	12	6	11	10	8	7
Sphaerobacter thermophilus	0	0	0	0	0	0	0	0	0	0
Sphaerochaeta associata	5	6	34	9	10	74	2	3	3	1
Sphaerochaeta coccoides	0	0	0	0	0	0	0	0	0	0
Sphaerochaeta globosa	0	0	0	0	0	0	0	0	0	0
Sphaerochaeta pleomorpha	0	0	0	0	0	0	0	0	0	0
Sphaerospermopsis kisseleviana	0	0	0	0	0	0	0	0	0	0
Sphaerospermopsis torques-reginae	0	0	0	0	0	0	0	0	0	0
Sphaerotilus sp. FB-5	619	238	329	302	2243	90	395	220	1763	377
Sphaerotilus sulfidivorans	335	1237	269	417	411	149	191	1126	236	2224
Sphingobacterium daejeonense	39	13	72	8	21	19	36	11	18	15
Sphingobacterium faecium	7	0	14	2	8	2	5	3	6	5
Sphingobacterium hotanense	32	7	60	6	12	11	35	9	15	8
Sphingobacterium lactis	35	6	53	10	23	7	23	5	23	6
Sphingobacterium mizutaii	32	6	43	4	13	13	20	4	20	10
Sphingobacterium multivorum	33	15	35	10	19	14	31	40	11	31
Sphingobacterium paramultivorum	15	0	11	2	5	7	5	5	8	5
Sphingobacterium psychroaquaticum	36	3	41	1	24	3	26	7	13	8
Sphingobacterium siyangense	3	6	12	3	3	3	5	3	3	5
Sphingobacterium sp. B29	1	1	1	0	0	3	2	1	2	1
Sphingobacterium sp. CZ-2	49	8	69	9	18	6	28	8	18	8
Sphingobacterium sp. dk4302	44	8	29	4	7	4	21	8	11	12
Sphingobacterium sp. DR205	43	6	53	8	16	12	27	9	21	12
Sphingobacterium sp. E70	34	4	75	8	24	8	28	9	19	11
Sphingobacterium sp. G1-14	4	4	9	1	1	0	3	4	2	12
Sphingobacterium sp. LZ7M1	41	8	61	5	19	9	30	14	15	7
Sphingobacterium sp. ML3W	34	12	49	7	17	11	22	39	14	14
Sphingobacterium sp. PCS056	11	1	21	1	8	1	3	2	6	2
Sphingobacterium sp. SRCM116780	45	4	50	10	20	10	25	14	35	9
Sphingobacterium sp. UDSM-2020	50	11	68	6	13	7	39	22	17	11
Sphingobacterium spiritivorum	116	16	129	22	50	22	77	46	42	24
Sphingobacterium thalpophilum	45	4	64	8	17	12	32	10	17	8
Sphingobium amiense	60	13	87	124	53	6	49	12	42	15
Sphingobium baderi	11	5	20	42	17	4	8	5	10	5
Sphingobium chlorophenolicum	0	0	0	0	0	0	0	0	0	0
Sphingobium chungbukense	2	0	2	2	2	0	0	0	1	1
Sphingobium cloacae	43	9	71	121	47	1	32	6	24	16
Sphingobium fuliginis	12	2	11	17	9	1	9	0	2	1
Sphingobium herbicidovorans	32	4	59	48	37	10	25	5	18	10
Sphingobium indicum	17	1	30	24	17	4	8	1	15	3
Sphingobium phenoxybenzoativorans	59	7	123	122	63	8	48	8	46	12
Sphingobium sp. Cam5-1	26	8	66	68	36	7	20	5	17	8
Sphingobium sp. CAP-1	59	4	77	110	42	7	24	11	33	11
Sphingobium sp. CFD-1	58	8	33	68	23	2	9	3	2	1
Sphingobium sp. CFD-2	20	4	30	45	15	1	5	2	5	3
Sphingobium sp. EP60837	37	5	59	75	31	9	23	5	29	11
Sphingobium sp. JS3065	88	5	90	80	38	7	76	11	49	16
Sphingobium sp. KCTC 72723	36	9	76	84	46	12	53	17	25	10
Sphingobium sp. LF-16	1	0	3	4	2	1	0	0	1	0
Sphingobium sp. MI1205	51	7	56	69	28	5	25	9	15	3
Sphingobium sp. PAMC28499	14	5	20	37	18	7	10	5	6	3
Sphingobium sp. RAC03	41	12	86	88	55	9	35	14	30	17
Sphingobium sp. RSMS	18	5	20	37	12	1	13	3	12	7
Sphingobium sp. SCG-1	27	8	91	64	39	14	32	6	34	13
Sphingobium sp. SYK-6	58	4	90	103	69	7	47	8	35	16
Sphingobium sp. TKS	60	19	105	135	67	11	75	16	33	24
Sphingobium sp. YBL2	5	2	17	17	7	3	4	1	8	3
Sphingobium sp. YG1	55	13	87	107	63	12	41	14	32	18
Sphingobium wenxiniae	3	0	0	1	0	0	0	0	0	0
Sphingobium xenophagum	106	26	134	135	60	11	67	20	122	61
Sphingobium yanoikuyae	109	40	202	435	120	36	66	38	67	55
Sphingomicrobium aestuariivivum	18	7	36	63	37	11	10	2	8	4
Sphingomicrobium flavum	16	2	62	63	28	5	6	4	13	5
Sphingomonas aerolata	26	11	70	55	53	7	17	6	25	8
Sphingomonas aliaeris	36	9	75	76	55	5	18	2	25	7
Sphingomonas alpina	37	9	85	78	72	13	27	10	29	12
Sphingomonas bisphenolicum	32	10	94	85	36	7	38	11	32	6
Sphingomonas cannabina	42	11	103	84	76	13	23	6	33	12
Sphingomonas changnyeongensis	44	10	97	94	74	12	27	9	22	12
Sphingomonas daechungensis	22	6	54	32	35	2	13	3	13	2
Sphingomonas ginsengisoli An et al. 2013	34	4	57	65	84	8	9	2	13	7
Sphingomonas glaciei	26	9	72	56	51	11	18	7	16	8
Sphingomonas hengshuiensis	44	10	128	85	84	18	26	14	34	10
Sphingomonas insulae	23	7	72	60	63	9	13	7	25	2
Sphingomonas koreensis	26	16	83	74	51	15	20	11	27	10
Sphingomonas lacunae	31	8	66	73	39	5	27	12	18	15
Sphingomonas lutea	31	6	59	43	43	4	10	5	13	4
Sphingomonas melonis	24	4	35	40	39	5	11	6	11	4
Sphingomonas morindae	40	11	120	97	81	16	18	7	32	8
Sphingomonas paeninsulae	21	6	47	47	34	2	25	3	14	8
Sphingomonas panacis	43	15	97	91	92	8	23	8	31	17
Sphingomonas panacisoli	30	12	72	76	45	8	21	14	18	6
Sphingomonas paucimobilis	61	15	94	114	73	14	28	11	25	13
Sphingomonas phage PAU	2	0	1	2	0	0	0	0	0	0
Sphingomonas piscis	16	2	49	39	42	13	10	6	10	5
Sphingomonas profundi	55	10	147	130	108	13	41	16	40	9
Sphingomonas psychrotolerans	45	7	89	83	63	14	21	6	15	10
Sphingomonas qomolangmaensis	17	4	40	55	32	6	15	5	8	7
Sphingomonas radiodurans	41	7	75	81	70	9	24	6	24	9
Sphingomonas rhizophila	21	6	54	44	34	8	14	7	16	3
Sphingomonas sabuli	24	6	45	63	39	9	19	7	23	3
Sphingomonas sanguinis	23	5	54	51	48	11	16	4	17	5
Sphingomonas sanxanigenens	0	0	0	0	0	0	0	0	0	0
Sphingomonas sediminicola	14	4	37	42	24	6	13	1	15	3
Sphingomonas sinipercae	24	3	39	50	39	3	9	4	13	4
Sphingomonas sp.	1	0	1	0	0	0	0	0	0	0
Sphingomonas sp. A1	0	0	1	0	5	1	0	0	0	1
Sphingomonas sp. AAP5	36	5	91	84	69	8	12	8	32	7
Sphingomonas sp. AK-PDB1-5	48	6	83	73	72	17	30	6	34	12
Sphingomonas sp. AP4-R1	41	14	105	91	66	12	26	12	38	10
